time,local_date,sensor_id,pm10,pm25,no2,latitude,longitude
10,2023-10-17T10:00:00,4861,-1,-1,37.5,51.2642897846451,4.34127999246466
14,2023-10-17T14:00:00,4861,-1,-1,21.5,51.2642897846451,4.34127999246466
18,2023-10-17T18:00:00,4861,-1,-1,-1.0,51.2642897846451,4.34127999246466
10,2023-10-18T10:00:00,4861,-1,-1,32.5,51.2642897846451,4.34127999246466
14,2023-10-18T14:00:00,4861,-1,-1,23.5,51.2642897846451,4.34127999246466
18,2023-10-18T18:00:00,4861,-1,-1,30.5,51.2642897846451,4.34127999246466
10,2023-10-19T10:00:00,4861,-1,-1,19.5,51.2642897846451,4.34127999246466
14,2023-10-19T14:00:00,4861,-1,-1,31.0,51.2642897846451,4.34127999246466
18,2023-10-19T18:00:00,4861,-1,-1,29.5,51.2642897846451,4.34127999246466
10,2023-10-20T10:00:00,4861,-1,-1,21.5,51.2642897846451,4.34127999246466
14,2023-10-20T14:00:00,4861,-1,-1,32.5,51.2642897846451,4.34127999246466
18,2023-10-20T18:00:00,4861,-1,-1,26.5,51.2642897846451,4.34127999246466
10,2023-10-21T10:00:00,4861,-1,-1,14.5,51.2642897846451,4.34127999246466
14,2023-10-21T14:00:00,4861,-1,-1,9.5,51.2642897846451,4.34127999246466
18,2023-10-21T18:00:00,4861,-1,-1,17.0,51.2642897846451,4.34127999246466
10,2023-10-22T10:00:00,4861,-1,-1,10.0,51.2642897846451,4.34127999246466
14,2023-10-22T14:00:00,4861,-1,-1,9.5,51.2642897846451,4.34127999246466
18,2023-10-22T18:00:00,4861,-1,-1,12.0,51.2642897846451,4.34127999246466
10,2023-10-23T10:00:00,4861,-1,-1,47.5,51.2642897846451,4.34127999246466
14,2023-10-23T14:00:00,4861,-1,-1,50.0,51.2642897846451,4.34127999246466
18,2023-10-23T18:00:00,4861,-1,-1,26.5,51.2642897846451,4.34127999246466
10,2023-10-24T10:00:00,4861,-1,-1,12.5,51.2642897846451,4.34127999246466
14,2023-10-24T14:00:00,4861,-1,-1,17.5,51.2642897846451,4.34127999246466
