time_x,local_date,sensor_id,pm10_x,pm25_x,no2_x,o3,so2,co_conc,nmvoc,no,time_y,pm10_y,pm25_y,no2_y,latitude,longitude
12,2023-10-02 12:00:00,4463,14.318052,9.350521,4.5789986,83.66328,1.3359127,267.02875,20.539549,0.7521206,12,15.271,9.9055,7.5,49.719281,5.630398
13,2023-10-02 13:00:00,4463,17.53651,10.6817045,3.9968383,93.22482,1.2277539,267.02875,21.147646,0.5439652,13,16.771,9.422,7.5,49.719281,5.630398
14,2023-10-02 14:00:00,4463,18.636734,11.529534,3.692565,98.3239,1.2004762,246.77135,21.826365,0.4243429,14,13.271,7.488,7.5,49.719281,5.630398
15,2023-10-02 15:00:00,4463,21.11119,13.265568,3.9565368,97.08943,1.0902425,262.5439,21.54076,0.41484377,15,15.271,7.488,9.0,49.719281,5.630398
16,2023-10-02 16:00:00,4463,23.280798,14.83099,5.69232,94.41376,1.2094574,273.02167,20.719025,0.34530956,16,16.271,8.455,10.5,49.719281,5.630398
17,2023-10-02 17:00:00,4463,26.255287,16.579779,7.9999156,90.453636,1.2043629,284.59964,21.827763,0.10440715,17,24.771,10.389,11.5,49.719281,5.630398
18,2023-10-02 18:00:00,4463,30.787508,20.435637,10.861183,82.74596,1.3036683,312.3101,25.139336,0.018189894,18,26.271,11.356,11.5,49.719281,5.630398
19,2023-10-02 19:00:00,4463,30.027866,21.12948,12.814898,79.29703,1.3890542,305.55704,24.72388,0.012249757,19,27.271,12.8065,8.5,49.719281,5.630398
20,2023-10-02 20:00:00,4463,27.731012,19.358837,9.1013975,78.29321,1.0752501,302.85626,23.753557,0.007879919,20,31.271,15.224,11.0,49.719281,5.630398
6,2023-10-03 06:00:00,4463,13.568268,7.9926405,3.4196432,59.069862,1.0142642,160.90874,19.11365,0.03126388,6,16.271,9.422,3.5,49.719281,5.630398
7,2023-10-03 07:00:00,4463,13.636026,7.9287148,3.5953612,54.671547,1.0986726,158.86598,16.142738,0.14421175,7,16.271,9.422,4.0,49.719281,5.630398
8,2023-10-03 08:00:00,4463,13.709099,7.8984942,3.3314025,55.07469,0.8310508,153.31161,13.998142,0.23511504,8,16.771,9.422,8.0,49.719281,5.630398
9,2023-10-03 09:00:00,4463,13.258602,7.8703637,3.425535,57.04981,0.6650932,146.11191,16.113567,0.2966359,9,15.271,7.9715,-1.0,49.719281,5.630398
10,2023-10-03 10:00:00,4463,11.417623,7.576556,3.74096,57.363552,0.6306351,133.26643,10.159885,0.42222795,10,13.271,6.521,3.5,49.719281,5.630398
11,2023-10-03 11:00:00,4463,8.110335,5.2969346,3.4834569,57.118507,0.2728484,132.40385,9.928407,0.64615816,11,13.271,7.0045,4.5,49.719281,5.630398
12,2023-10-03 12:00:00,4463,4.9058714,4.758292,3.041699,56.91739,0.28012437,136.86633,7.9091206,0.3656453,12,13.271,7.0045,4.0,49.719281,5.630398
13,2023-10-03 13:00:00,4463,4.6105027,3.955472,2.6177437,58.43454,0.65631413,153.54155,10.705017,0.6111406,13,13.271,7.488,3.0,49.719281,5.630398
16,2023-10-03 16:00:00,4463,3.4786832,2.3054364,1.6237322,74.432556,1.488786,175.93195,5.898226,0.15110402,16,0.6355,0.0,-1.0,49.719281,5.630398
17,2023-10-03 17:00:00,4463,3.7395163,2.6103675,1.9212223,73.956924,1.2621512,170.8431,6.34874,0.05356782,17,0.771,0.0,2.5,49.719281,5.630398
18,2023-10-03 18:00:00,4463,3.7883513,3.011927,2.162139,69.11354,1.1795009,172.21883,6.3182187,0.023732128,18,1.271,0.0,2.0,49.719281,5.630398
19,2023-10-03 19:00:00,4463,4.122773,2.7001033,3.2369342,61.79709,1.0422809,174.5096,6.126944,0.022211567,19,0.771,0.0,2.0,49.719281,5.630398
20,2023-10-03 20:00:00,4463,4.1343226,1.8103523,3.0374231,57.163647,1.029548,185.69058,5.4850426,0.019262813,20,1.271,0.0,1.5,49.719281,5.630398
6,2023-10-04 06:00:00,4463,7.6152053,3.4266927,4.319723,37.690968,0.24898128,196.48546,7.653716,0.043851145,6,4.771,0.719,3.5,49.719281,5.630398
7,2023-10-04 07:00:00,4463,8.256593,4.1583805,5.587675,32.407646,0.2549001,201.5362,8.461287,0.14006218,7,3.771,0.3595,3.5,49.719281,5.630398
8,2023-10-04 08:00:00,4463,6.631135,3.7289066,6.2300954,31.19802,0.3556335,197.4434,8.247021,0.3519176,8,5.771,1.686,7.0,49.719281,5.630398
9,2023-10-04 09:00:00,4463,5.145442,4.4777956,5.6242585,36.430653,0.41473222,200.1952,7.1159806,0.8208199,9,6.771,2.1695,8.5,49.719281,5.630398
10,2023-10-04 10:00:00,4463,6.560422,4.09293,3.5681834,50.629005,0.5766196,195.8322,6.938219,0.4443776,10,5.771,1.686,7.5,49.719281,5.630398
11,2023-10-04 11:00:00,4463,8.332801,4.268031,2.610597,59.12196,0.512955,197.44876,6.668184,0.36259088,11,3.771,0.3595,7.0,49.719281,5.630398
12,2023-10-04 12:00:00,4463,8.893669,4.1009116,2.3573353,61.511997,0.67484504,198.60272,5.9365635,0.30695447,12,1.771,0.0,6.0,49.719281,5.630398
13,2023-10-04 13:00:00,4463,8.655215,4.6528807,2.1314445,64.15974,0.8059538,199.36754,5.906264,0.2573591,13,3.271,0.0,3.0,49.719281,5.630398
14,2023-10-04 14:00:00,4463,9.103786,4.6624594,2.1797836,64.62788,0.78689885,200.90727,6.1526957,0.26641062,14,5.271,2.653,2.5,49.719281,5.630398
15,2023-10-04 15:00:00,4463,9.534091,5.012932,2.578383,64.37301,0.8092728,201.37898,6.1285005,0.32525778,15,9.271,4.587,2.5,49.719281,5.630398
16,2023-10-04 16:00:00,4463,10.160647,4.930334,2.8703358,63.915863,0.86618,204.31384,7.38583,0.22869532,16,8.271,4.1035,1.5,49.719281,5.630398
